,cycle_id,sampled_at,weight,sum_sample_g,sum_sample_kg,abw,abw_round
4180,21831.0,2023-06-06,302.5,36.36363636363636,3.6363636363636364e-05,11.13,11.0
4181,21831.0,2023-06-06,50.0,220.0,0.00021999999999999998,11.13,11.0
4182,21831.0,2023-06-06,630.0,17.460317460317462,1.746031746031746e-05,11.13,11.0
4183,21831.0,2023-06-06,310.0,35.483870967741936,3.548387096774193e-05,11.13,11.0
4184,15835.0,2022-06-14,348.0,45.97701149425287,4.597701149425287e-05,16.26,16.0
4185,15835.0,2022-06-14,273.3,58.543724844493234,5.854372484449323e-05,16.26,16.0
4186,15835.0,2022-06-14,59.14,270.5444707473791,0.0002705444707473791,16.26,16.0
4187,15835.0,2022-06-14,120.0,133.33333333333334,0.00013333333333333334,16.26,16.0
4188,18606.0,2023-01-06,493.03,28.395837981461575,2.8395837981461577e-05,13.53,14.0
4189,18606.0,2023-01-06,6.11,2291.3256955810148,0.0022913256955810145,13.53,14.0
4190,18606.0,2023-01-06,769.83,18.185833235909225,1.8185833235909225e-05,13.53,14.0
4191,18606.0,2023-01-06,30.01,466.51116294568476,0.00046651116294568474,13.53,14.0
4192,18606.0,2023-01-06,1684.0,8.31353919239905,8.31353919239905e-06,13.53,14.0
4193,18606.0,2023-01-06,53.4,262.1722846441948,0.0002621722846441948,13.53,14.0
4194,16055.0,2022-07-26,580.58,15.501739639670673,1.5501739639670674e-05,9.31,9.0
4195,16055.0,2022-07-26,38.43,234.192037470726,0.00023419203747072597,9.31,9.0
4196,24476.0,2023-09-09,1313.0,5.331302361005331,5.331302361005332e-06,6.6,7.0
4197,15977.0,2022-06-23,487.31,10.260409185118302,1.0260409185118302e-05,5.1,5.0
4198,15977.0,2022-06-30,487.31,16.416654696189283,1.6416654696189284e-05,7.87,8.0
4199,15977.0,2022-07-07,487.31,22.572900207260265,2.2572900207260263e-05,10.86,11.0
4200,15977.0,2022-07-17,487.31,28.729145718331246,2.8729145718331247e-05,14.08,14.0
4201,15977.0,2022-07-23,487.31,30.781227555354906,3.0781227555354905e-05,15.38,15.0
4202,15977.0,2022-06-23,627.0,7.974481658692184,7.974481658692186e-06,5.1,5.0
4203,15977.0,2022-06-30,627.0,12.759170653907496,1.2759170653907497e-05,7.87,8.0
4204,15977.0,2022-07-07,627.0,17.543859649122805,1.7543859649122806e-05,10.86,11.0
4205,15977.0,2022-07-17,627.0,22.328548644338117,2.2328548644338118e-05,14.08,14.0
